stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10,99994,"STEEL PLAZA STATION",,40.439562,-79.995332,FZ,,,,,0
100,99906,"WILLOW STATION",,40.365469,-80.026193,01,,,,,0
10005,10005,"KEEPORT DR + YOUNGRIDGE",,40.340754,-79.981175,01,,,,,0
10016,10016,"BROWNSVILLE RD + NOBLES LN",,40.403958,-79.990230,01,,,,,0
10018,10018,"BROWNSVILLE RD + THE BOULEVARD",,40.401127,-79.989317,01,,,,,0
10019,10019,"BROWNSVILLE RD + E MEYERS AVE",,40.399887,-79.989153,01,,,,,0
10022,10022,"BROWNSVILLE RD + CRAILO AVE",,40.396720,-79.987743,01,,,,,0
10023,10023,"BROWNSVILLE RD + AGNEW RD",,40.395140,-79.986830,01,,,,,0
10025,10025,"BROWNSVILLE RD + WOODFORD AVE",,40.393302,-79.986562,01,,,,,0
10026,10026,"BROWNSVILLE RD + PARKFIELD ST",,40.391477,-79.986685,01,,,,,0
10027,10027,"BROWNSVILLE RD + OVERBROOK BLVD",,40.389384,-79.985526,01,,,,,0
10028,10028,"BROWNSVILLE RD + #2336",,40.388190,-79.984822,01,,,,,0
10029,10029,"BROWNSVILLE RD + BISCAYNE DR",,40.387436,-79.984055,01,,,,,0
10030,10030,"BROWNSVILLE RD + CLIFTON BLVD",,40.386830,-79.981846,01,,,,,0
10032,10032,"BROWNSVILLE RD + CHURCHVIEW AVE",,40.385858,-79.979016,01,,,,,0
10033,10033,"BROWNSVILLE RD + MAYTIDE ST",,40.384581,-79.978009,01,,,,,0
10035,10035,"LEBANON CHURCH RD + OTT DR FS",,40.342936,-79.964138,01,,,,,0
10038,10038,"LEBANON CHURCH RD + REGIS AVE",,40.347555,-79.952147,01,,,,,0
1007,1007,"CENTER AVE + COLUMBIA AVE FS",,40.520193,-80.041974,01,,,,,0
10075,10075,"HWY RT 885 + HAMPTON RD",,40.327536,-79.931088,01,,,,,0
10078,10078,"HWY RT 885 + LEWIS RUN",,40.332344,-79.933663,01,,,,,0
